"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","k_percent","bb_percent","on_base_plus_slg","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","groundballs_percent","flyballs_percent"
"Cabrera, Miguel","408234","2020","231","51","37","4","0","10",22.1,10.4,"0.746","93.2",36.8,9.7,5.8,49.7,"102.655113117","96.026886144",31.6,47.7,42.6,21.9
"Cruz Jr., Nelson","443558","2020","214","56","34","6","0","16",27.1,11.7,"0.992","91.6",39.4,15,3.9,47.2,"102.723679524","95.93307824",34.2,47.6,47.2,21.3
"Peralta, David","444482","2020","218","61","45","10","1","5",20.6,6,"0.772","89.2",29.4,5,6.3,36.3,"100.556636709","94.354591139",21.1,46.6,51.2,18.8
"Longoria, Evan","446334","2020","209","49","31","10","1","7",18.7,5.3,"0.722","91.7",29.9,11.5,3.8,45.2,"101.530260256","95.520896474",21,45,50.3,25.5
"Cabrera, Asdrúbal","452678","2020","213","46","26","9","3","8",18.8,8.9,"0.752","89.5",30.5,6.5,8.4,38.3,"97.982868684","93.323023224",20.5,46.1,45.5,26.6
"Blackmon, Charlie","453568","2020","247","67","48","12","1","6",17.8,7.7,"0.804","86.9",38.5,4.9,5.5,29.7,"97.303074157","92.71975736",23.3,50.2,38.5,24.7
"Solano, Donovan","456781","2020","203","62","43","15","1","3",19.2,4.9,"0.828","88.5",43.4,4.6,7.9,34.9,"98.263815526","93.264044768",22,51.9,36.2,22.4
"McCutchen, Andrew","457705","2020","241","55","36","9","0","10",19.9,9.1,"0.757","89.7",36.5,8.2,8.8,41.2,"99.22758119","93.968213095",22,40.6,35.3,27.1
"Votto, Joey","458015","2020","223","42","23","8","0","11",19.3,16.6,"0.800","87.4",36.4,9.1,9.8,35.7,"98.39738875","93.296095944",22.5,36.2,39.9,37.8
"Santana, Carlos","467793","2020","255","41","26","7","0","8",16.9,18.4,"0.699","88",32.3,6.7,8.5,36.6,"99.260366296","93.650599074",20.6,36.3,43.3,26.2
"Brantley Jr., Michael","488726","2020","187","51","31","15","0","5",15,9.1,"0.840","88.7",34.5,4.9,6.3,37.3,"98.251374648","93.415636667",16.3,39.9,47.9,26.1
"Gurriel, Yuli","493329","2020","230","49","30","12","1","6",11.7,5.2,"0.658","89.3",34.4,3.7,7.4,36.5,"98.527696064","93.454652781",15.6,48.8,38.1,27
"Escobar, Eduardo","500871","2020","222","43","29","7","3","4",18.5,6.8,"0.605","88.6",34.8,5.5,3.7,31.7,"97.095200488","92.633428037",21.6,51.4,38.4,27.4
"Martinez, J.D.","502110","2020","237","45","22","16","0","7",24.9,9.3,"0.680","89.5",39.6,11,7.8,41.6,"99.85455974","94.246308758",28.1,51.9,35.1,35.1
"Reddick, Josh","502210","2020","210","46","30","11","1","4",20,9.5,"0.694","85.9",34.7,4.8,4.8,29.3,"96.145119315","92.092886986",22.6,46.5,37.4,21.1
"Goldschmidt, Paul","502671","2020","231","58","39","13","0","6",18.6,16,"0.883","89.2",42.3,10.7,7.4,40.9,"99.2678272","93.874685503",23.7,40.6,34.9,24.8
"Gonzalez, Marwin","503556","2020","199","37","28","4","0","5",20.6,8.5,"0.606","89.2",31.9,5.1,5.1,38.4,"98.202361739","93.451501168",23.5,43,41.3,26.8
"Altuve, Jose","514888","2020","210","42","28","9","0","5",18.6,8.1,"0.630","86.7",24.8,4.6,5.9,33.3,"97.480630811","92.777053741",20.2,50,51,22.2
"Hernández, César","514917","2020","261","66","43","20","0","3",21.8,9.2,"0.763","89.1",37.3,4,6.8,37.3,"98.999012093","93.787809064",19.6,43.6,50.8,14.1
"Segura, Jean","516416","2020","217","51","37","5","2","7",20.7,10.6,"0.769","87.7",31.8,6.1,3.4,38.5,"99.748813288","93.958321438",22.1,46.8,49.3,18.9
"Marte, Starling","516782","2020","250","64","43","14","1","6",16.4,4.8,"0.770","87.1",30.3,6.4,4.3,30.3,"97.604057802","92.829315028",25.2,52.7,54.8,22.3
"Freeman, Freddie","518692","2020","262","73","36","23","1","13",14.1,17.2,"1.102","92.4",49.2,14.7,4.5,54.2,"101.812650227","95.798406705",20.1,48.2,32.8,28.8
"Grandal, Yasmani","518735","2020","194","37","22","7","0","8",29.9,15.5,"0.773","90.3",38.1,7.6,9.5,43.8,"99.928859811","94.403731524",30.7,34.1,36.2,28.6
"LeMahieu, DJ","518934","2020","216","71","49","10","2","10",9.7,8.3,"1.011","91.3",29.7,2.9,9.1,45.7,"100.540551744","94.953852733",11.2,44.1,57.1,15.4
"Rizzo, Anthony","519203","2020","243","45","28","6","0","11",15.6,11.5,"0.756","87.7",34.7,7.8,4.8,34.7,"99.57215061","93.849255427",19.3,42.5,40.1,22.2
"Flores, Wilmer","527038","2020","213","53","29","11","1","12",16.9,6.1,"0.830","87.9",37.4,6.1,6.1,34.4,"97.808676707","93.175661718",17.8,48,33.7,29.4
"García, Avisaíl","541645","2020","207","43","31","10","0","2",23.7,9.7,"0.659","87.4",37.1,3.8,8.3,37.1,"99.290871364","93.692910455",34.7,54.6,48.5,18.9
"Ozuna, Marcell","542303","2020","267","77","45","14","0","18",22.5,14.2,"1.067","93",39.1,15.4,8.3,54.4,"103.534352941","96.562612663",31.4,46.3,37.3,26
"Villar, Jonathan","542340","2020","207","43","36","5","0","2",26.1,9.2,"0.593","86.7",18.7,1.5,3.7,35.8,"99.470722344","93.853135313",32,51.6,59.7,12.7
"Aguilar, Jesús","542583","2020","216","52","34","10","0","8",18.5,10.6,"0.809","89.3",37.5,7.2,5.9,37.5,"99.078188947","93.762450461",22.3,47.3,37.5,22.4
"Crawford, Brandon","543063","2020","193","44","24","12","0","8",24.4,7.8,"0.791","88.7",35.4,9.4,4.7,39.4,"98.74086254","93.673056111",31.5,54.6,41.7,26
"Grossman, Robbie","543257","2020","192","40","18","12","2","8",19.8,10.9,"0.826","89",33.6,5.5,7.8,37.5,"98.280297813","93.396949921",18.4,43.4,39.8,28.9
"Hicks, Aaron","543305","2020","211","38","20","10","2","6",18,19.4,"0.793","88.2",29.8,6.9,6.1,38.2,"99.738009846","93.99654093",27.9,39.4,47.3,23.7
"Rendon, Anthony","543685","2020","232","54","33","11","1","9",13.4,16.4,"0.915","90.1",39.2,6.3,7.6,40.5,"98.602933924","93.634717389",14.7,40.5,34.8,27.8
"Semien, Marcus","543760","2020","236","47","30","9","1","7",21.2,10.6,"0.679","86.2",32.9,5,6.8,28.6,"96.361638375","92.211459874",23.3,44.1,32.9,32.3
"Springer III, George","543807","2020","222","50","28","6","2","14",17.1,10.8,"0.899","88.7",35.3,12.4,5.9,42.5,"101.012866184","94.708160132",25.3,47.7,35.9,26.1
"Vázquez, Christian","543877","2020","189","49","33","9","0","7",22.8,8.5,"0.801","88.4",33.1,4.6,6.2,40,"98.429126154","93.35878876",22.9,47.6,41.5,27.7
